游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
永恒勇士(含数据包),8.3 ,角色扮演,中文,57℃,2015-09-16,2.2.0,完全免费,Glu,2.1以上,6970,546
狂野之血商店高清版(含数据包),8.5 ,动作游戏,中文,57℃,2013-12-06,1.1.0,完全免费,Gameloft,2.3以上,17324,5431
死亡战虫,7.3 ,动作游戏,英文,57℃,2013-05-14,1.15,完全免费,PlayCreek LLC,2.2以上,975,83
艾诺迪亚4PLUS修改版,8.3 ,角色扮演,"中文, 韩文",57℃,2012-09-12,1.0.3,完全免费,Com2uS,2.1以上,6589,1929
僵尸快跑,5.5 ,益智休闲,"英文, 韩文",57℃,2012-07-20,1.1.0,完全免费,Com2uS,2.1以上,284,46
反恐精英原版移植,5.6 ,射击游戏,英文,57℃,2012-06-19,1.97,完全免费,Studio OnMars,2.0.1以上,3104,360
疯狂动物园,6.2 ,益智休闲,中文,56℃,2016-09-28,1.0.2,道具收费,游道易,4.1以上,125,374
艾诺迪亚3中文版,8.0 ,角色扮演,"中文, 韩文",56℃,2016-08-25,1.4.5,完全免费,Com2uS,2.3以上,2720,819
单机斗地主,4.5 ,棋牌游戏,中文,56℃,2016-08-17,6.5.6.0,道具收费,北京联众互动网络股份有限公司,2.3以上,3117,204
进化之地汉化版,8.9 ,角色扮演,中文,56℃,2015-02-13,1.2.12,完全免费,Shiro Games,2.2以上,4610,3436
炉石传说魔兽英雄传,8.9 ,策略塔防,中文,56℃,2016-03-18,1.2,完全免费,"Blizzard Entertainment, Inc.",2.3以上,5573,1387
魔能:方碑之巫,6.5 ,冒险解谜,中文,56℃,2016-01-20,1.4.0,完全免费,Paradox Interactive,3.0以上,1116,1142
QQ游戏,4.9 ,益智休闲,中文,56℃,2015-11-18,6.7.3,完全免费,,2.2以上,850,69
愤怒的小鸟太空版无广告版,9.6 ,益智休闲,英文,56℃,2015-07-03,2.2.0,完全免费,Rovio,2.3以上,3997,68
爸爸去哪儿2,8.0 ,益智休闲,中文,56℃,2014-09-10,1.1.1,道具收费,成都蓝飞互娱科技有限公司,2.3以上,1179,61
超级玛丽旗舰版,4.9 ,益智休闲,中文,56℃,2013-10-12,1.8.0,完全免费,,1.6以上,936,107
命运英雄传中文版(含数据包),7.8 ,角色扮演,中文,56℃,2013-10-09,2.0.3,完全免费,Glu,2.1以上,4961,2373
死亡绝境中文版(含数据包),8.0 ,动作游戏,中文,56℃,2013-02-25,1.0.2,完全免费,Glu,2.1以上,3345,2452
桌面精灵口袋宠物,6.1 ,养成游戏,中文,56℃,2012-06-20,1.7,完全免费,,2.2以上,1409,165
真人快打X修改版(含数据包),6.7 ,格斗游戏,中文,55℃,2016-09-08,1.9.0,完全免费,WBIE,4.0以上,8815,5120
熊出没之熊大快跑,4.6 ,益智休闲,中文,55℃,2016-09-08,2.3.8,道具收费,合肥乐堂动漫信息技术有限公司,2.2以上,1447,107
自杀突击队:特别行动(含数据包),7.3 ,射击游戏,"英文, 中文",55℃,2016-08-29,1.1.3,完全免费,WBIE,4.0以上,908,1948
音速出击汉化破解版(含数据包),9.0 ,音乐游戏,中文,55℃,2013-12-05,1.0.6,完全免费,Neowiz,2.2以上,6774,880
愤怒的小鸟太空版高清版,5.1 ,益智休闲,英文,55℃,2015-07-03,2.2.0,完全免费,Rovio,2.3以上,648,107
速度与激情6(含数据包),5.5 ,竞速游戏,中文,55℃,2014-10-27,4.1.2,完全免费,Kabam,2.3以上,2583,439
死亡空间内购破解直装版,6.9 ,角色扮演,中文,55℃,2014-08-06,1.1.40,完全免费,EA,2.1以上,4862,2556
武士剑虎,7.8 ,角色扮演,英文,55℃,2014-08-04,1.2.5,完全免费,BerkBox,2.3以上,1125,286
手势舞蹈,5.5 ,音乐游戏,英文,55℃,2014-07-28,1.5.4,完全免费,ProGaming,2.3.3以上,616,125
像素鸟,5.5 ,益智休闲,英文,55℃,2014-02-08,1.3,完全免费,.GEARS Studios,2.2以上,2392,176
猴子也疯狂中国版,,益智休闲,"中文, 韩文",55℃,2013-04-12,1.00.05,完全免费,Com2uS,2.2以上,692,109
武士2复仇中文内购破解版,6.7 ,角色扮演,中文,55℃,2012-09-30,1,完全免费,Madfinger Games,1.5以上,2405,1402
植物大战僵尸2中文版,7.6 ,策略塔防,中文,54℃,2016-09-29,1.9.0,道具收费,拓维信息系统股份有限公司,2.3以上,1116,377
火柴人联盟,7.6 ,格斗游戏,中文,54℃,2016-09-27,1.9.3,道具收费,互爱（北京）科技有限公司,2.2以上,4545,1439
我的世界:故事模式破解版(含数据包),8.4 ,角色扮演,"英文, 中文",54℃,2016-05-27,1.33,完全免费,Telltale Games,2.3.3以上,10736,6962
刺客信条:海盗奇航(含数据包),7.9 ,动作游戏,中文,54℃,2016-07-14,2.9.1,完全免费,Ubisoft育碧,4.0以上,13553,5445
午夜狂飙2,,竞速游戏,英文,54℃,2016-06-20,1.0.4,完全免费,ICLOUDZONE INC.,2.3以上,635,18
庞然巨物,7.7 ,益智休闲,"中文, 韩文",54℃,2016-06-08,1.1.1,完全免费,Halfbrick Studios,4.0.3以上,1906,709
