游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
极限摩托车,,竞速游戏,英文,43℃,2012-10-25,1.8.7,完全免费,Camel,1.6以上,822,12
勇猛二兄弟(含数据包),8.1 ,射击游戏,英文,43℃,2012-08-08,3.5.0,完全免费,Glu,2.0以上,4362,43
纽约过山车,4.9 ,竞速游戏,英文,43℃,2012-06-28,1.5,完全免费,DigitalChocolate,2.2以上,662,29
灵魂争霸免数据包版,5.4 ,角色扮演,中文,43℃,2012-06-18,0.7.5,完全免费,,2.3.3以上,947,473
PopStar！消灭星星官方正版,,益智休闲,中文,42℃,2016-09-28,4.5.0,道具收费,掌游天下（北京）信息技术有限公司,2.3以上,649,37
火星探险,6.7 ,益智休闲,中文,42℃,2016-09-28,6,完全免费,Pomelo Games,4.0.3以上,208,522
炫光动感修改版(含数据包),8.2 ,音乐游戏,"英文, 中文",42℃,2016-08-24,3.1.1,完全免费,C4Cat,4.0.3以上,3839,3297
杀手:狙击手(含数据包),7.5 ,射击游戏,中文,42℃,2016-08-12,1.7.69607,完全免费,SQEX,4.1以上,5904,3237
暖暖的换装物语,5.5 ,养成游戏,中文,42℃,2016-07-22,4.0.1,道具收费,北京达唯科技股份有限公司,2.3以上,602,106
顶级卡车免费版,5.1 ,竞速游戏,英文,42℃,2016-07-16,1.6.0,完全免费,Ace Viral,2.3以上,569,33
小三传奇,8.5 ,益智休闲,中文,42℃,2016-06-01,1.3.6,完全免费,Sirvo llc,4.0以上,3419,403
行尸走肉第一季完整版(含数据包),8.1 ,动作游戏,英文,42℃,2016-02-27,1.18,完全免费,Telltale Games,2.3.3以上,9938,3233
桥梁构造者:特技,6.3 ,竞速游戏,"英文, 中文",42℃,2016-02-08,1.4,完全免费,Headup Games,3.2以上,4214,829
退休巫师的故事,,策略塔防,中文,42℃,2015-11-24,2.1,完全免费,WestRiver,2.3以上,2027,238
疯狂漂移精简版（含数据包）,5.1 ,竞速游戏,英文,42℃,2015-10-19,1.69,完全免费,Ratrod,3.1以上,610,45
王国保卫战:前线汉化版(含数据包),9.0 ,策略塔防,中文,42℃,2013-12-07,1.0.2,完全免费,Ironhide Game,4.0以上,8060,2294
曼陀罗(含数据包),5.7 ,益智休闲,英文,42℃,2015-09-25,3.0.0,完全免费,雷亚,2.3.3以上,983,590
超级跑酷猴,,动作游戏,英文,42℃,2015-09-16,1.0.8,完全免费,Geimo,2.2以上,638,34
暗影之刃完整版(含数据包),8.0 ,动作游戏,英文,42℃,2014-03-11,1.0.4,完全免费,Crescent Moon,2.3.3以上,3468,860
生命线汉化版,7.0 ,冒险解谜,中文,42℃,2015-07-27,1.3.1,完全免费,3 Minute Games,4.0以上,2429,1651
毁灭枪手第二季,5.0 ,射击游戏,英文,42℃,2015-07-16,1.27,完全免费,SHADE Inc.,2.2以上,886,192
几何战争3:维度(含数据包),7.1 ,射击游戏,英文,42℃,2015-07-06,1.0.0,完全免费,"Activision Publishing, Inc.",4.0以上,2685,2237
QQ农场,5.1 ,益智休闲,中文,42℃,2015-07-01,v3.2.1,完全免费,腾讯,2.2以上,622,53
迷你赛车(含数据包),5.4 ,竞速游戏,英文,42℃,2015-03-08,1.8.2,完全免费,The Binary Mill,2.3.3以上,1698,234
漂泊,7.4 ,益智休闲,英文,42℃,2014-12-19,1.2.1,完全免费,Wright Flyer,4.2以上,681,1001
龙之勇士之李小龙高通版(含数据包),4.8 ,动作游戏,中文,42℃,2014-06-11,1.15.26,完全免费,,2.1以上,1530,272
死亡效应修改版(含数据包),7.7 ,射击游戏,英文,42℃,2014-03-03,1.2.1,完全免费,BadFly Interactive,2.3.3以上,2514,1652
兄弟连2,7.7 ,射击游戏,英文,42℃,2012-07-22,1.1.8,完全免费,Gameloft,2.1以上,6451,1832
摩托车大奖赛(含数据包),7.0 ,竞速游戏,英文,42℃,2013-12-07,1.18,完全免费,Technologies XLab,1.6以上,679,54
超级竞速(含数据包),7.6 ,竞速游戏,中文,42℃,2013-12-06,2.3,完全免费,FISHLABS Entertainment GmbH,2.3.3以上,976,182
地牢猎人(含数据包),5.1 ,角色扮演,英文,42℃,2013-12-05,3.5.9,完全免费,Gameloft,2.0以上,939,139
超越光速,,飞行游戏,英文,42℃,2013-08-26,1.4.2,完全免费,CatfishBlues Games,2.2以上,769,56
怪物射击:失落破坏,8.0 ,射击游戏,英文,42℃,2013-03-27,1.9,完全免费,Gamelion Studios,2.2以上,933,154
模拟火车,5.2 ,模拟经营,英文,42℃,2013-04-24,1.3.7,完全免费,N3V Games,2.3以上,811,232
动感超人,5.1 ,动作游戏,"中文, 韩文",42℃,2012-12-18,1.0.3,完全免费,Com2uS,2.2以上,950,142
禁锢坦克3D完整版,5.2 ,射击游戏,英文,42℃,2012-12-07,2.14.2,完全免费,Lone Dwarf Games Inc,2.0以上,732,78
小小大战争,5.0 ,策略塔防,英文,42℃,2012-10-29,1.2.8,完全免费,Rubicon Development,2.2以上,818,68
猫骑士VS大恶龙修改版,5.2 ,动作游戏,中文,41℃,2013-08-29,1.0.2,完全免费,ANIMOCA,2.2以上,650,146
以色列战斗机,5.1 ,飞行游戏,英文,41℃,2016-09-26,1.3.7,完全免费,Third Wire Productions,4.0.3以上,583,104
愤怒的老奶奶玩酷跑内购破解版,7.6 ,益智休闲,英文,41℃,2016-09-11,1.42,完全免费,Ace Viral,3.0以上,852,85
百变英雄3,7.0 ,射击游戏,英文,41℃,2016-08-22,1.34,完全免费,Ravenous Games,2.3以上,2113,560
模拟遥控飞机,5.0 ,飞行游戏,英文,41℃,2016-08-15,3.07,完全免费,Happy Bytes LLC,2.3.3以上,714,122
矢量跑酷完整版,6.5 ,益智休闲,英文,41℃,2016-07-19,1.2.0,完全免费,Nekki,4.0以上,1071,493
午夜狂飙,7.0 ,竞速游戏,英文,41℃,2016-06-20,1.2.6,完全免费,ICLOUDZONE INC.,2.3以上,628,26
中国象棋,6.0 ,棋牌游戏,中文,41℃,2016-06-17,1.68,完全免费,,1.6以上,675,122
90坦克大战,,益智休闲,英文,41℃,2016-06-13,1.3,完全免费,siqi,2.3以上,615,55
住宅梦物语汉化版,5.4 ,模拟经营,中文,41℃,2012-11-20,1.0.0,完全免费,Kairosoft,2.2以上,938,345
神剑,5.1 ,动作游戏,英文,41℃,2016-04-28,3.3,完全免费,LootWorks,2.3以上,668,84
找你妹2015,8.0 ,益智休闲,中文,41℃,2016-03-09,4.0.4,道具收费,北京分播时代网络科技有限公司,2.3.3以上,777,54
3D跑酷,,体育运动,英文,41℃,2016-03-01,1.74,完全免费,Ezone,2.3以上,803,41
愤怒的火柴人3修改版,4.8 ,动作游戏,英文,41℃,2013-04-21,1.0.1,完全免费,Miniclip,2.1以上,1192,221
雷电复刻版(含数据包),4.7 ,飞行游戏,英文,41℃,2015-07-21,1.9,完全免费,DotEmu,2.3.3以上,744,134
DJMAXRAY(含数据包),7.7 ,音乐游戏,英文,41℃,2015-07-02,1.4.7,完全免费,Neowiz,2.3以上,854,563
流亡:远殖民地汉化版(含数据包),8.2 ,角色扮演,中文,41℃,2015-01-07,2.17,完全免费,Crescent Moon,4.0以上,3380,5355
火焰VS外传:亡灵塔,5.0 ,策略塔防,中文,41℃,2015-05-19,1.25.1,道具收费,广州火蚂蚁软件开发有限公司,2.3以上,664,168
魔窟冒险(含数据包),8.4 ,动作游戏,英文,41℃,2015-05-08,1.1.9,完全免费,,2.3以上,5098,3717
花式投篮大赛,,体育运动,英文,41℃,2015-04-24,4.4.0,完全免费,,2.3以上,587,50
引火精灵:第二个影子,8.2 ,动作游戏,英文,41℃,2015-02-17,1.5,完全免费,Surprise Attack Pty Ltd,2.3以上,3487,1016
精神病院3汉化版(含数据包),8.1 ,冒险解谜,中文,41℃,2014-12-30,1.01,完全免费,AGaming+,4.0以上,6603,3086
灵魂争霸(含数据包),5.0 ,角色扮演,英文,41℃,2014-11-05,2.7.8,完全免费,MobileBits GmbH,2.3.3以上,2436,412
深渊:伊甸的幽灵完整版(含数据包),7.1 ,冒险解谜,中文,41℃,2014-10-20,1.3,完全免费,G5,2.3以上,1390,888
战地坦克,5.0 ,射击游戏,英文,41℃,2014-05-13,1.5,完全免费,sd,2.0.1以上,867,191
燃烧的蔬菜3,,策略塔防,中文,41℃,2014-07-24,1.0.0,道具收费,索乐软件,2.2以上,628,64
舰队大作战,5.0 ,策略塔防,中文,41℃,2014-04-29,1.4.0,完全免费,"Triad Gene Software Co.,Ltd.",2.2以上,695,128
弧光中队:回归(含数据包),7.9 ,飞行游戏,英文,41℃,2014-01-10,1.4,完全免费,Psyonix Studios,3.1以上,1056,597
灵魂穿越者:柏树女巫的诅咒完整版(含数据包),5.3 ,冒险解谜,中文,41℃,2013-12-07,1,完全免费,G5,2.3以上,1193,996
浴火银河2(含数据包),8.0 ,射击游戏,英文,41℃,2013-12-07,1.0.4.7,完全免费,FISHLABS Entertainment GmbH,2.3以上,1272,302
黑暗势力:堕落王朝(含数据包),5.1 ,角色扮演,英文,41℃,2013-12-06,2.6.5,完全免费,Triniti Interactive Ltd.,2.2以上,934,434
鹰击长空(含数据包),5.2 ,飞行游戏,英文,41℃,2013-12-06,3.4.6,完全免费,Gameloft,2.0以上,1008,222
泽诺尼亚传奇3尘世的故事中文版,5.4 ,角色扮演,"中文, 韩文",41℃,2013-11-14,1.0.2,完全免费,GAMEVIL,2.1以上,1417,805
吵醒猫猫,5.2 ,益智休闲,英文,41℃,2013-10-23,1.0.0,完全免费,Chillingo,2.3以上,687,265
现代战争,5.0 ,策略塔防,中文,41℃,2013-09-27,1.18.3,完全免费,Gaijin Entertainment,2.3.3以上,615,172
燃烧的蔬菜,8.0 ,益智休闲,中文,41℃,2013-06-21,4.0.0,免费试玩,索乐软件,2.1以上,3760,0
海军航空战士完整版,5.3 ,飞行游戏,英文,41℃,2012-12-31,2.01,完全免费,RORTOS,2.2以上,791,124
真实足球2013高清离线版(含数据包),5.2 ,体育运动,中文,41℃,2012-11-10,1.0.3,完全免费,Gameloft,2.3以上,964,430
国际斯诺克,5.0 ,体育运动,英文,41℃,2012-11-10,2.3,完全免费,My Interactive,2.3以上,654,46
小鸡快跑2012,,益智休闲,英文,41℃,2012-09-17,3.2.0,完全免费,GIU GAME,2.1以上,643,3
快乐涂鸦,,益智休闲,英文,41℃,2012-08-23,2.7,完全免费,,2.0以上,614,8
拳皇13,5.3 ,格斗游戏,英文,41℃,2012-06-14,12.04.05,完全免费,G-Gee by GMO,2.1以上,848,40
超炫3D隧道,5.1 ,益智休闲,英文,41℃,2012-05-09,2.5.45,完全免费,HyperBees,2.2以上,848,56
游击队鲍勃中文通用版,,射击游戏,中文,41℃,2012-03-12,1.3.1,完全免费,Chillingo,2.0.1以上,699,71
恶魔之地,4.8 ,冒险解谜,英文,41℃,2012-03-01,1,完全免费,ShyRatel,1.6以上,695,289
小鸡快跑,5.0 ,益智休闲,英文,41℃,2011-08-18,1.1.2,完全免费,,2.1以上,800,6
魔剑镇魂曲英雄之泪,6.2 ,策略塔防,中文,41℃,2011-04-19,1.0.7,完全免费,,1.5以上,924,134
子弹力量(含数据包),7.1 ,射击游戏,"英文, 中文",40℃,2016-09-30,1,完全免费,Lucas Wilde,4.2以上,913,1424
疾风之刃:天空骑士团,7.9 ,角色扮演,中文,40℃,2016-09-27,2.29.3,完全免费,GAMEVIL,2.3.3以上,1510,1157
猎鹿人2014,7.9 ,射击游戏,中文,40℃,2016-09-27,2.12.0,完全免费,Glu,3.0以上,6526,1195
脑力游戏,6.8 ,益智休闲,中文,40℃,2016-09-18,1.9.1,完全免费,Memorado Gmbh,4.1以上,2224,841
滑雪大冒险2,5.6 ,动作游戏,中文,40℃,2016-09-09,1.2.1,道具收费,游道易,2.3以上,658,55
极限着陆专业版(含数据包),8.2 ,飞行游戏,"英文, 中文",40℃,2016-09-01,2.3,完全免费,RORTOS,4.0以上,1490,1112
二战神鹰2:太平洋1942内购破解版,5.1 ,飞行游戏,英文,40℃,2014-07-28,1.22,完全免费,EpicForce Entertainment Ltd,2.3以上,668,132
七彩祖玛2,5.0 ,益智休闲,英文,40℃,2016-07-26,1.2.4,完全免费,Ezjoy,2.3以上,572,47
时尚跑酷,5.1 ,益智休闲,英文,40℃,2016-07-16,1.8,完全免费,PICTOSOFT Inc,2.3以上,680,39
不可思议之路,6.7 ,益智休闲,英文,40℃,2016-05-20,1.2.4,完全免费,PIXELSONTOAST,4.0以上,1165,379
NDS模拟器,5.0 ,游戏工具,英文,40℃,2016-02-17,47,完全免费,Jeffrey Quesnelle,2.3.3以上,668,50
英雄大作战X,7.9 ,格斗游戏,中文,40℃,2015-11-18,1.091,完全免费,Marti Wong,2.2以上,2932,597
又是这关2,5.2 ,益智休闲,英文,40℃,2015-11-13,1.13,完全免费,IamTagir,2.3.3以上,1080,245
荒野求生,7.0 ,益智休闲,英文,40℃,2015-09-16,1.4,完全免费,F84 Games,3.2以上,1080,111
鼻涕猪完整版,6.9 ,益智休闲,英文,40℃,2014-04-16,1,完全免费,Revolutionary Concepts,2.3以上,781,442
方块拼凑,5.7 ,益智休闲,英文,40℃,2015-02-13,1,完全免费,Gameblyr,2.3以上,868,525
战地防御2完整版(含数据包),5.7 ,策略塔防,英文,40℃,2015-01-20,1.4.2,完全免费,ARTEM,2.3以上,832,251
天天过马路,5.5 ,益智休闲,"英文, 中文",40℃,2014-12-29,1.1.11,完全免费,Hipster Whale,4.0.3以上,635,247
3D模拟人生3免验证版(含数据包),7.8 ,模拟经营,英文,40℃,2014-08-19,1.5.21,完全免费,EA,2.1以上,2852,1046
雷神2:黑暗世界破解版(含数据包),7.7 ,动作游戏,中文,40℃,2014-08-08,1.2.0,完全免费,Gameloft,2.3以上,1886,1795
迷你农场,7.8 ,模拟经营,"中文, 韩文",40℃,2014-08-05,2.02.00,完全免费,Com2uS,2.2以上,1272,225
天空猎人forKakao,,飞行游戏,英文,40℃,2014-03-21,3.3.0,完全免费,"WeMade Entertainment CO., LTD",2.3.3以上,530,32
超级网球大奖赛(含数据包),8.7 ,体育运动,中文,40℃,2013-12-06,4,完全免费,SEGA世嘉,2.3以上,4160,400
攻城大战TD中文修改版(含数据包),,策略塔防,中文,40℃,2013-08-30,1.0.1,完全免费,Crescent Moon,2.2以上,829,461
宫爆老奶奶季节版,5.0 ,动作游戏,中文,40℃,2013-10-31,1.4.0,道具收费,热酷,2.2以上,661,39
离子苍穹完整版,5.1 ,飞行游戏,英文,40℃,2013-06-27,2.9.6,完全免费,Spikepit Games,2.2以上,572,110
热血与荣耀(含数据包),5.2 ,格斗游戏,英文,40℃,2012-09-01,1.1.6,完全免费,Glu,2.1以上,758,58
监狱逃脱,,益智休闲,英文,40℃,2012-08-14,1.2.1.1,完全免费,IzumiArtisan,2.1以上,641,43
弗雷德高空坠落,,益智休闲,英文,40℃,2012-05-25,1.0.16,完全免费,Dedalord,2.2以上,968,40
死亡奔跑,,益智休闲,英文,40℃,2012-05-15,1.4.4,完全免费,Distinctive Wireless Inc.,1.6以上,530,63
艾德温娜传说,,角色扮演,"英文, 韩文",40℃,2012-05-09,1.0.1,完全免费,GAMEVIL,2.1以上,592,176
战斗精灵HD汉化版,4.8 ,角色扮演,中文,40℃,2012-05-02,1,完全免费,,2.1以上,948,170
帝国战争,5.0 ,策略塔防,中文,40℃,2012-02-23,1.02,完全免费,BiCORE,2.1以上,912,76
艾露西亚,,角色扮演,"英文, 韩文",40℃,2012-02-15,1.2.3,完全免费,GAMEVIL,2.0以上,940,130
登山赛车,5.6 ,益智休闲,中文,39℃,2016-09-20,1.30.7,道具收费,北京唯我乐园信息技术有限公司,2.2以上,760,126
3D像素射击(含数据包),7.4 ,射击游戏,中文,39℃,2016-09-10,11.0.0,完全免费,RiliSoft ltd,4.0.3以上,5099,1763
猎鹿人2016,7.8 ,射击游戏,"英文, 中文",39℃,2016-09-09,2.3.1,完全免费,Glu,3.0以上,3408,495
滑雪大冒险,5.0 ,益智休闲,中文,39℃,2016-09-09,2.3.2,道具收费,游道易,2.3以上,514,100
愤怒的小鸟2(含数据包),8.4 ,益智休闲,英文,39℃,2016-09-09,2.9.0,道具收费,Rovio,4.1以上,6154,352
我爱钓鱼精简版,,益智休闲,英文,39℃,2016-08-25,7,完全免费,Rocking Pocket Games,3.0以上,413,39
星际穿越,7.3 ,模拟经营,中文,39℃,2016-08-22,1.2.3,完全免费,Paramount Digital Entertainment,4.0以上,1121,1414
城市岛屿,5.3 ,模拟经营,英文,39℃,2016-07-29,2.22.8,完全免费,More2create,2.3以上,505,114
暗黑守护者,,动作游戏,英文,39℃,2016-05-20,1.1,完全免费,,2.3以上,387,199
3D巴士停车,5.3 ,益智休闲,英文,39℃,2016-05-06,1.8.1,完全免费,riv3r,4.0以上,392,35
死亡战车,7.5 ,竞速游戏,英文,39℃,2016-02-29,1.0.29,完全免费,Not Doppler,2.2以上,799,84
Ben10终极英雄:Xenodrome中文破解版,5.4 ,角色扮演,中文,39℃,2016-01-12,1.2.7,完全免费,TurnOut Ventures Ltd,2.3以上,807,380
破门而入(含数据包),8.5 ,策略塔防,英文,39℃,2015-12-18,1.0.57,完全免费,KillHouse Games,4.0.3以上,5655,4211
王国保卫战:起源(含数据包),9.3 ,策略塔防,英文,39℃,2015-10-12,1.5.2,完全免费,Ironhide Game,4.0以上,6171,3939
浴火银河2汉化解锁版(含数据包),8.1 ,射击游戏,"英文, 中文",39℃,2014-07-14,2.0.2,完全免费,FISHLABS Entertainment GmbH,3.1以上,5479,4995
猫咪后院汉化版,5.7 ,养成游戏,中文,39℃,2015-06-18,1.3.0,完全免费,HitPoint Inc.,2.3以上,997,597
舞剑驭龙者,5.3 ,角色扮演,中文,39℃,2015-05-06,1.6.12,完全免费,,4.0.3以上,494,193
吓人恶作剧汉化版,,益智休闲,中文,39℃,2015-04-28,1.13,完全免费,Freedom Recyle,1.6以上,561,45
愤怒的小鸟思黛拉,7.9 ,益智休闲,"英文, 中文",39℃,2015-04-24,1.1.5,完全免费,Rovio,4.0以上,857,190
天天风之旅,7.9 ,益智休闲,中文,39℃,2015-03-19,1.1.9.321,完全免费,腾讯,2.2以上,706,102
迷你英雄2:僵尸(含数据包),7.9 ,射击游戏,英文,39℃,2015-02-15,2.1.3,完全免费,Triniti Interactive Ltd.,2.3.3以上,1996,1247
火柴人狙击3,5.0 ,射击游戏,英文,39℃,2015-02-11,1.0.7,完全免费,DPFLASHES STUDIOS,2.2以上,502,256
开罗拉面店汉化版,5.7 ,模拟经营,中文,39℃,2015-01-22,1.0.0,完全免费,Kairosoft,4.0以上,685,483
战斗之心:传承汉化版(含数据包),8.4 ,角色扮演,中文,39℃,2014-11-05,1.2.2,完全免费,Mika Mobile,4.1以上,6756,6440
跳楼英雄,7.5 ,益智休闲,英文,39℃,2014-12-01,2.9.1,完全免费,Secret Exit Ltd.,2.2以上,1034,148
消灭星星（官方正版）,5.1 ,益智休闲,中文,39℃,2014-07-15,3,道具收费,北京百度移讯科技有限公司,1.6以上,487,107
死亡绝境(含数据包),7.9 ,动作游戏,英文,39℃,2013-01-14,2.1.2,完全免费,Glu,2.1以上,868,488
恐龙快打,7.3 ,角色扮演,中文,39℃,2014-08-26,4,完全免费,,2.1以上,836,49
幽浮:未知敌人免验证版(含数据包),8.9 ,策略塔防,英文,39℃,2014-08-25,1.1.0,完全免费,2K Games,2.3以上,6154,2453
轨道建设,,益智休闲,英文,39℃,2014-08-17,1.55,完全免费,CrossConstruct,2.3以上,578,89
幕府将军的头骨直装版,8.7 ,策略塔防,中文,39℃,2014-06-12,1,完全免费,"17-BIT, Inc",2.3.3以上,3842,763
威力扫荡,5.1 ,动作游戏,英文,39℃,2014-01-24,1.1.5,完全免费,Retrobomb,2.2以上,707,76
背刺市场版(含数据包),8.0 ,角色扮演,英文,39℃,2013-12-07,1.2.6,完全免费,Gameloft,2.1以上,5680,1888
自由越野摩托车汉化版(含数据包),4.9 ,体育运动,中文,39℃,2011-06-17,1.04,完全免费,Xlab Technologies Lt,1.6以上,553,68
一起跳舞吧(含数据包),,音乐游戏,韩文,39℃,2013-12-06,1.2.8,完全免费,"WeMade Entertainment CO., LTD",2.2以上,932,132
美国队长:自由哨兵,5.1 ,动作游戏,英文,39℃,2013-12-06,1.0.2,完全免费,Marvel,2.1以上,663,410
猎鹿人重装上阵(含数据包),4.7 ,射击游戏,英文,39℃,2013-12-05,3.8.2,完全免费,Glu,2.1以上,940,134
都市赛车5(含数据包),5.6 ,竞速游戏,中文,39℃,2013-12-05,1.2.5,完全免费,Gameloft,1.5以上,728,113
飞机世界,4.7 ,飞行游戏,英文,39℃,2013-06-08,1.2.2,完全免费,,2.3.3以上,737,73
职业杀手(含数据包),4.8 ,射击游戏,英文,39℃,2013-04-01,1.6.0,完全免费,Glu,2.0以上,582,122
喵星忍者,,动作游戏,中文,39℃,2013-02-06,1.08,完全免费,mountain lion,2.1以上,573,39
横扫僵尸,,射击游戏,英文,39℃,2012-10-15,1.5,完全免费,SimpleGamesStudio,2.1以上,510,18
雷霆赛车2完整版,5.1 ,竞速游戏,英文,39℃,2012-10-01,1.0.0,完全免费,Polarbit,1.5以上,1111,37
会说话的河马,,益智休闲,英文,39℃,2012-09-18,1.2.6,完全免费,Outfit7,1.5以上,473,23
枪火兄弟连中文版(含数据包),5.1 ,射击游戏,中文,39℃,2012-09-04,3.1.4,完全免费,Glu,2.0以上,1015,180
玛雅的祖玛,,益智休闲,英文,39℃,2012-07-25,1.6,完全免费,adams02113,1.6以上,460,28
水管迷宫2,7.5 ,益智休闲,英文,39℃,2012-06-23,1,完全免费,Best Apps House Ltd.,2.0.1以上,594,35
办公室发泄完整版,,益智休闲,英文,39℃,2012-06-21,1.6.09,完全免费,Fluik,2.1以上,517,10
乐器之家,5.1 ,音乐游戏,英文,39℃,2012-03-07,6.0.7,完全免费,Christopher Souvey,2.1以上,377,51
特审组之养育之恩完整版(含数据包),7.4 ,冒险解谜,中文,39℃,2012-02-09,1.0.0,完全免费,G5,2.1以上,988,355
星际闪电战(含数据包),4.8 ,射击游戏,英文,39℃,2011-09-16,1.1.2,完全免费,Glu,2.0以上,581,59
魔灵召唤:天空之役,8.0 ,角色扮演,中文,38℃,2016-09-29,3.0.9,完全免费,Com2uS,3.0以上,1209,665
儿童拼图,,益智休闲,中文,38℃,2016-09-26,2.9.21,完全免费,Yodesoft,2.3.3以上,242,27
愤怒的小鸟史诗大战(含数据包),8.2 ,角色扮演,中文,38℃,2016-09-22,1.5.2,完全免费,Rovio,2.3.3以上,4149,532
无限循环,5.6 ,益智休闲,中文,38℃,2016-09-21,4.96,完全免费,Balys Valentukevicius,4.0.3以上,1069,464
永不孤单(含数据包),7.3 ,冒险解谜,"英文, 中文, 韩文, 日文",38℃,2016-09-20,1.0.0,完全免费,Upper One Games,2.3以上,2291,3985
被尘封的故事,8.3 ,角色扮演,中文,38℃,2016-09-12,10.6.3,道具收费,乐动卓越,2.3以上,7670,2332
命运之谜2汉化版(含数据包),5.9 ,角色扮演,"英文, 中文",38℃,2016-08-27,1.001,完全免费,Dotomchi Games,2.3.3以上,180,660
战龟(含数据包),6.0 ,射击游戏,英文,38℃,2016-08-17,1.00.09.2,完全免费,Foursaken Media,4.0.3以上,768,1827
混沌之戒3(含数据包),8.6 ,角色扮演,英文,38℃,2016-08-05,1.1.1,完全免费,SQEX,4.0以上,9685,6133
泡泡龙,,益智休闲,中文,38℃,2016-07-29,4.2,完全免费,Go App,2.3以上,216,27
疯狂漂移,,竞速游戏,英文,38℃,2016-07-07,1.71,完全免费,Ratrod,4.0以上,467,36
钻石之星,,益智休闲,英文,38℃,2016-06-16,3.4,完全免费,ITREEGAMER,4.1以上,217,22
时空之轮(含数据包),7.6 ,角色扮演,中文,38℃,2016-03-07,1.0.6,完全免费,SQEX,2.2以上,1007,467
灵魂能力(含数据包),6.0 ,格斗游戏,英文,38℃,2016-01-22,1.0.15,完全免费,南梦宫NAMCO,2.3.3以上,2188,529
巨型迷宫完整版,5.0 ,冒险解谜,英文,38℃,2016-01-19,1.04,完全免费,Rexet Studio,2.3以上,400,361
密室逃脱3(含数据包),4.9 ,冒险解谜,中文,38℃,2016-01-11,1.3.1,完全免费,Gameday Inc.,3.0以上,2333,705
收割者之剑客传奇,7.8 ,角色扮演,英文,38℃,2015-12-03,1.4.13,完全免费,Hexage,4.0以上,1257,948
纸境(含数据包),7.9 ,冒险解谜,中文,38℃,2015-11-16,1.12.0,完全免费,Nyamyam,4.4以上,4406,6290
虚空之虫完整版(含数据包),8.2 ,益智休闲,中文,38℃,2015-10-16,2.4,完全免费,BeautiFun Games,2.3以上,4708,1480
会说话的纳豆,,益智休闲,英文,38℃,2015-09-15,1.1.6,完全免费,Cotton Interactive,2.1以上,222,24
最终幻想4:月之归还汉化版(含数据包),7.8 ,角色扮演,"英文, 中文, 日文",38℃,2014-05-05,1.0.3,完全免费,,2.3以上,1871,1073
火线指令:战柏林修改版(含数据包),6.0 ,射击游戏,中文,38℃,2015-06-15,1.1.0,完全免费,Glu,3.0以上,1978,715
疼痛之旅,,冒险解谜,英文,38℃,2015-06-12,1.0.8,完全免费,Chillingo,2.3.3以上,298,38
雷霆战机,7.9 ,飞行游戏,"英文, 中文",38℃,2015-03-20,1.00.110,完全免费,腾讯,2.2以上,662,98
鳄鱼小顽皮爱洗澡2,4.6 ,益智休闲,中文,38℃,2014-12-03,2.7.0,道具收费,触控科技,2.3.3以上,453,192
被诅咒的心完整版(含数据包),6.0 ,益智休闲,中文,38℃,2014-11-17,1.5,完全免费,G5,2.3以上,851,622
小红帽穿越记修改版,7.7 ,角色扮演,"中文, 韩文",38℃,2013-08-21,1.0.4,完全免费,Com2uS,2.1以上,1435,591
暗影之枪中文版,8.1 ,射击游戏,中文,38℃,2014-06-30,3.0.3,道具收费,优美缔软件（上海）有限公司,2.0.1以上,3960,586
塔楼逃生,7.9 ,动作游戏,中文,38℃,2014-05-09,1.3.2,完全免费,The Game Bakers,2.2以上,848,135
愤怒的小鱼高清版,,益智休闲,中文,38℃,2013-11-27,2.0.16,免费试玩,深圳易图通科技有限公司,2.1以上,478,53
象棋大师,4.9 ,棋牌游戏,中文,38℃,2014-04-14,3.1,完全免费,MyDreamFactory,2.2以上,174,49
数独加强版,5.6 ,益智休闲,英文,38℃,2013-12-11,1.1.8,完全免费,NRSM,2.2以上,231,74
狂野飙车-喷射联想定制版(含数据包),5.1 ,竞速游戏,中文,38℃,2013-12-07,1.1.0,完全免费,Gameloft,2.1以上,1277,244
墨鬼Tegra版(含数据包),5.1 ,动作游戏,英文,38℃,2013-12-06,1,完全免费,ACQUIRE corporation,4.0以上,604,352
超音速隧道高清版,,竞速游戏,英文,38℃,2013-09-25,1.1.6,完全免费,Kuuasema,2.1以上,389,40
炙热之魂:加速进化(含数据包),7.6 ,角色扮演,英文,38℃,2013-07-09,1.5,完全免费,HyperDevbox Studio,2.2以上,829,612
急速飙车2,4.8 ,竞速游戏,英文,38℃,2013-01-08,1.1.4,完全免费,OoO studio,2.2以上,323,2
灵魂救星2汉化版,7.9 ,角色扮演,中文,38℃,2012-08-03,1.0.1,完全免费,,2.2以上,1125,1129
剑圣:复仇君主(含数据包),8.0 ,动作游戏,英文,38℃,2012-11-15,2.3,完全免费,,2.2以上,4090,199
烧绳子官方中文完整版,,益智休闲,英文,38℃,2012-10-27,1.2.22,完全免费,Big Blue Bubble,1.6以上,193,30
武士大战僵尸中文版(含数据包),7.2 ,动作游戏,中文,38℃,2012-09-04,1.2.6,完全免费,Glu,2.1以上,2220,65
口袋妖怪钻石,5.4 ,冒险解谜,中文,38℃,2012-08-28,1,完全免费,,2.3.3以上,667,231
