rank,name,showtime,duration,director,type,score,nation
184,阿飞正传,1990/12/15,94,王家卫,剧情,8.5,中国
58,钢琴家,2002/5/24,150,罗曼·波兰斯基,传记,-1,法国
186,血战钢锯岭,2016/12/8,139,梅尔·吉布森,传记,8.7,美国
187,谍影重重,2002/11/21,119,道格·里曼,悬疑,8.5,美国
188,谍影重重2,2004/11/14,108,保罗·格林格拉斯,悬疑,8.5,美国
189,魔女宅急便,1989/7/29,103,宫崎骏,奇幻,8.5,日本
190,碧海蓝天,1988/5/11,132,Luc,爱情,8.7,法国
185,牯岭街少年杀人事件,1991/7/27,237,杨德昌,犯罪,-1,中国
192,惊魂记,1960/6/16,109,Alfred,惊悚,8.9,美国
193,忠犬八公物语,1987/8/1,107,Seijir?,剧情,9,日本
194,再次出发之纽约遇见你,2013/9/7,104,约翰·卡尼,爱情,8.5,美国
195,秒速5厘米,2007/3/3,63,新海诚,剧情,8.3,日本
196,青蛇,1993/11/4,99,徐克,奇幻,8.4,中国
197,头脑特工队,2015/10/6,95,彼特·道格特,动画,8.7,美国
198,房间,2015/9/4,118,伦尼·阿伯拉罕森,家庭,8.8,爱尔兰
199,哪吒闹海,1979/5/19,65,严定宪,动画,8.9,中国
1,肖申克的救赎,1994/9/10,NA,弗兰克·德拉邦特,剧情,9.6,美国
201,东京物语,1953/11/3,136,小津安二郎,家庭,9.2,日本
202,末路狂花,1991/5/24,130,雷德利·斯科特,剧情,8.7,美国
203,绿里奇迹,1999/12/10,189,Frank,剧情,8.7,美国
204,终结者2,1991/7/3,137,詹姆斯·卡梅隆,科幻,8.6,美国
205,源代码,2011/8/30,93,邓肯·琼斯,科幻,8.3,美国
206,勇闯夺命岛,1996/6/7,136,迈克尔·贝,冒险,8.5,美国
207,这个男人来自地球,2007/11/13,87,理查德·沙因克曼,科幻,8.5,美国
208,新龙门客栈,1992/8/27,88,李惠民,动作,8.5,中国
209,模仿游戏,2014/12/25,114,莫腾·泰杜姆,传记,8.5,英国
210,黑客帝国3,2003/11/5,129,Andy,科幻,8.5,美国
146,哈利·波特与死亡圣器(下),2011/8/4,130,大卫·叶茨,悬疑,-1,美国
212,荒野生存,2007/9/21,148,西恩·潘,传记,8.6,美国
213,变脸,1997/6/27,138,吴宇森,科幻,8.4,美国
214,城市之光,1931/1/30,87,Charles,剧情,9.2,美国
215,迁徙的鸟,2001/12/12,98,雅克·贝汉,纪录片,9.1,法国
216,一个叫欧维的男人决定去死,2015/12/25,116,汉内斯·赫尔姆,剧情,8.7,瑞典
217,E.T. 外星人,1982/5/26,115,Steven,科幻,8.5,美国
236,血钻,2006/12/8,143,爱德华·兹威克,惊悚,-1,美国
219,美国丽人,1999/9/8,122,萨姆·门德斯,爱情,8.4,美国
220,无耻混蛋,2009/8/20,153,Quentin,犯罪,8.4,美国
221,黄金三镖客,1966/12/23,161,Sergio,西部,9.1,意大利
222,初恋这件小事,2010/8/12,118,普特鹏·普罗萨卡·那·萨克那卡林,喜剧,8.3,泰国
223,英国病人,1996/12/6,162,安东尼·明格拉,剧情,8.4,美国
224,燕尾蝶,1996/9/14,148,岩井俊二,剧情,8.6,日本
225,你的名字。,2016/12/2,106,新海诚,爱情,8.4,日本
226,爱在午夜降临前,2013/6/14,109,理查德·林克莱特,爱情,8.8,美国
227,非常嫌疑犯,1995/1/25,106,布莱恩·辛格,犯罪,8.6,德国
228,叫我第一名,2008/12/7,95,彼得·维纳,传记,8.6,美国
126,海洋,2009/10/17,NA,雅克·贝汉,纪录片,9,法国
230,勇士,2011/9/9,140,加文·欧康诺,运动,8.9,美国
231,无人知晓,2004/5/13,141,是枝裕和,剧情,9,日本
232,疯狂的石头,2006/6/30,106,宁浩,犯罪,8.3,中国
233,无敌破坏王,2012/11/6,101,瑞奇·莫尔,动画,8.6,美国
234,国王的演讲,2010/12/25,118,汤姆·霍珀,传记,8.3,英国
235,上帝也疯狂,1980/9/10,109,Jamie,喜剧,8.6,博茨瓦纳
236,血钻,2006/12/8,143,爱德华·兹威克,惊悚,8.5,美国
237,步履不停,2008/6/28,115,是枝裕和,家庭,8.8,日本
238,枪火,1999/11/19,84,杜琪峰,动作,8.6,中国
220,无耻混蛋,2009/8/20,NA,Quentin,犯罪,8.4,美国
240,彗星来的那一夜,2013/9/19,89,詹姆斯·沃德·布柯特,悬疑,8.4,美国
241,大卫·戈尔的一生,2003/2/21,130,Alan,犯罪,8.6,美国
242,爱·回家,2002/4/5,80,李廷香,家庭,9,韩国
83,阳光灿烂的日子,1995/8/21,NA,姜文,剧情,8.8,中国
244,我爱你,2011/2/17,118,秋昌民,爱情,9,韩国
99,告白,2010/6/5,106,中岛哲也,惊悚,-1,日本
246,荒岛余生,2000/12/2,143,罗伯特·泽米吉斯,剧情,8.5,美国
247,麦兜故事,2001/12/15,75,袁建滔,喜剧,8.5,中国
248,暖暖内含光,2004/3/19,108,米歇尔·冈瑞,爱情,8.4,美国
249,黑鹰坠落,2001/12/18,144,雷德利·斯科特,历史,8.5,美国
250,小萝莉的猴神大叔,2015/7/17,159,卡比尔·汗,喜剧,8.6,印度
